Issue Type,Summary,Epic Name,Epic Link,Component,Priority,Story Points,Labels,Description
Story,Busca rápida de produto na venda,,MVP — Controle de estoque e vendas,Registro de Vendas,High,2,mvp vendas,"Como vendedor, quero buscar um produto rapidamente ao registrar a venda, para não travar a fila do balcão.

Critérios de aceitação:
- A busca filtra produtos conforme digito.
- Resultados aparecem em menos de 1 segundo.
- Posso adicionar o item à venda direto do resultado."
Story,Definir estoque mínimo do produto,,MVP — Controle de estoque e vendas,Alertas de Ruptura,High,2,mvp alertas,"Como lojista, quero definir o estoque mínimo de cada produto, para ser avisado antes de o produto acabar.

Critérios de aceitação:
- Cada produto tem um campo de estoque mínimo configurável.
- O valor padrão é sugerido, mas editável.
- O alerta é disparado quando a quantidade atinge ou fica abaixo do mínimo."
Story,Receber alerta de ruptura no WhatsApp,,MVP — Controle de estoque e vendas,Alertas de Ruptura,Highest,8,mvp alertas whatsapp,"Como lojista, quero receber uma mensagem no WhatsApp quando um produto atingir o estoque mínimo, para repor o produto a tempo e não perder vendas.

Critérios de aceitação:
- Dado um produto que atinge o estoque mínimo após uma venda, quando a baixa é registrada, então um alerta é enviado ao WhatsApp do lojista.
- A mensagem identifica o produto e a quantidade restante.
- O lojista pode ativar/desativar os alertas nas configurações.
- O alerta é enviado em até 1 minuto após a ruptura."
Task,Integrar com a WhatsApp Cloud API,,MVP — Controle de estoque e vendas,Alertas de Ruptura,High,8,mvp enabler integracao whatsapp,"Habilitador técnico: configurar a integração com a API oficial do WhatsApp (Cloud API) para envio de notificações.

Critérios de aceitação:
- Conta e número configurados na WhatsApp Cloud API.
- Serviço de envio de mensagens funcional e com tratamento de erros/retentativa.
- Custos e limites de envio monitorados."
Story,Dashboard de estoque e vendas do dia,,MVP — Controle de estoque e vendas,Dashboard,High,5,mvp dashboard,"Como lojista, quero ver um painel com os itens acabando e as vendas do dia, para ter uma visão rápida do meu negócio.

Critérios de aceitação:
- O painel mostra os produtos abaixo do estoque mínimo.
- O painel mostra o total de vendas e itens vendidos no dia.
- Os dados atualizam ao registrar novas vendas."
Task,"Configurar infraestrutura, repositório e CI/CD",,MVP — Controle de estoque e vendas,Infraestrutura,High,8,mvp enabler infra,"Habilitador técnico: preparar ambiente de nuvem, repositório de código e pipeline de integração/entrega contínua.

Critérios de aceitação:
- Repositório criado com pipeline de build e testes automatizados.
- Ambientes de homologação e produção provisionados.
- Deploy automatizado a partir da branch principal."
Story,Importar produtos via planilha,,Incremento 1 — Alertas inteligentes e reposição,Relatórios e Importação,Medium,,inc1 produtos,"Como lojista, quero importar meus produtos de uma planilha, para cadastrar o estoque inicial rapidamente.

Critérios de aceitação:
- Aceita arquivo CSV/Excel com colunas de produto.
- Mostra pré-visualização antes de confirmar."
Story,Relatório de vendas por período,,Incremento 1 — Alertas inteligentes e reposição,Relatórios e Importação,Medium,,inc1 relatorios,"Como lojista, quero ver um relatório de vendas por período, para entender o que mais sai e quando."
Story,Adicionar vendedores à loja,,Incremento 1 — Alertas inteligentes e reposição,Multiusuário,Medium,,inc1 acesso,"Como lojista, quero adicionar vendedores com acesso próprio, para que minha equipe registre vendas."
Story,Painel de reposição para o fornecedor,,Incremento 1 — Alertas inteligentes e reposição,Reposição (Fornecedor),Medium,,inc1 fornecedor,"Como fornecedor, quero ver quais lojas estão perto de repor, para antecipar pedidos e vender mais."
Story,Bot de venda no WhatsApp,,Incremento 2 — Venda conversacional e escala,Bot de venda no WhatsApp,Medium,,inc2,Item ainda não refinado (backlog emergente).
Story,Leitura de código de barras,,Incremento 2 — Venda conversacional e escala,Leitura de código de barras,Medium,,inc2,Item ainda não refinado (backlog emergente).
Story,Multi-loja,,Incremento 2 — Venda conversacional e escala,Multi-loja,Medium,,inc2,Item ainda não refinado (backlog emergente).
Story,Integração fiscal (NF-e),,Incremento 2 — Venda conversacional e escala,Integração fiscal (NF-e),Medium,,inc2,Item ainda não refinado (backlog emergente).
Story,Sugestão automática de pedido,,Incremento 2 — Venda conversacional e escala,Sugestão automática de pedido,Medium,,inc2,Item ainda não refinado (backlog emergente).
